ZIPCODE,POPULATION,MEDIAN_INCOME,PER_UNDER_60
62417,3250,59084,0.898461538
62418,2360,46202,0.894067797
62419,410,8041,0.87804878
62420,4820,107142,0.871369295
62421,890,18036,0.876404494
62422,1320,21613,0.893939394
62423,820,20202,0.853658537
62424,3110,71091,0.919614148
62425,740,14687,0.878378378
62426,1050,18603,0.885714286
62427,1820,41791,0.857142857
62428,3240,70836,0.867283951
62431,1210,23136,0.892561983
62432,650,12632,0.892307692
62433,1020,25777,0.862745098
62434,370,8004,0.837837838
62436,740,16697,0.864864865
62438,390,8343,0.897435897
62439,7870,171655,0.871664549
62440,1340,35343,0.850746269
62441,8330,194396,0.87755102
62442,2710,55941,0.874538745
62443,1800,37770,0.883333333
62444,460,9183,0.891304348
62445,1080,25998,0.898148148
62446,470,10833,0.85106383
62447,3620,87458,0.867403315
62448,6840,157567,0.872807018
62449,3520,75667,0.875
62450,13270,282524,0.871891485
62451,2250,49867,0.871111111
62452,410,8832,0.902439024
62454,11220,285206,0.869875223
62458,2590,46798,0.891891892
62460,1200,25488,0.866666667
62461,1000,24618,0.86
62462,1470,34187,0.904761905
62463,1470,30280,0.884353741
62465,1060,23612,0.858490566
62466,2700,51599,0.885185185
62467,4950,152306,0.894949495
62468,2950,60518,0.894915254
62469,510,9855,0.901960784
62471,9570,205048,0.877742947
62473,1620,38666,0.901234568
62474,820,18107,0.87804878
62475,420,7699,0.880952381
62476,1780,33725,0.882022472
62477,970,21207,0.865979381
62478,440,10609,0.886363636
62479,1100,23082,0.890909091
62480,730,13174,0.904109589
62481,420,9355,0.857142857
62501,2950,83899,0.86440678
62510,1770,44095,0.853107345
62512,550,13926,0.854545455
62513,2120,42771,0.91509434
62515,1060,28794,0.877358491
62518,510,10937,0.882352941
62520,1760,50005,0.869318182
62521,38170,1059174,0.863767357
62522,15230,306584,0.894944189
62526,33460,686267,0.87537358
62530,1710,46466,0.865497076
62531,1940,51283,0.860824742
62533,1060,28779,0.858490566
62534,1180,30353,0.830508475
62535,4770,218279,0.878406709
62536,1140,38586,0.859649123
62538,380,8730,0.894736842
62539,1510,35414,0.874172185
62543,620,14164,0.887096774
62544,2080,53797,0.875
62545,1510,42064,0.874172185
62546,1840,45068,0.875
62547,810,21834,0.839506173
62548,2500,67760,0.86
62549,7900,237649,0.894936709
62550,3340,83747,0.868263473
62551,930,19779,0.892473118
62553,520,11619,0.865384615
62554,1970,54051,0.873096447
62555,620,13341,0.870967742
62556,400,9326,0.825
62557,7750,160824,0.873548387
62558,4350,112601,0.891954023
62560,1710,43335,0.847953216
62561,6290,145624,0.895071542
62563,7880,272088,0.88071066
62565,8450,201735,0.862721893
62567,1260,29441,0.896825397
62568,16180,392855,0.86526576
62571,1530,30718,0.875816993
62572,640,15175,0.890625
62573,1680,41072,0.892857143
62601,480,15201,0.833333333
62611,1130,29801,0.85840708
